scene,frame_count_actual,pose_ate_rmse_aligned,pose_ate_mean_aligned,pose_ate_max_aligned,pose_are_mean_deg_aligned,pose_are_max_deg_aligned,pose_rpe_rot_mean_deg,pose_rpe_trans_mean_aligned,depth_absrel_raw,depth_rmse_raw,depth_absrel_aligned,depth_rmse_aligned,depth_delta1_aligned,depth_median_scale,pcd_gt_depth_gt_pose_chamfer_raw,pcd_gt_depth_pred_pose_chamfer_raw,pcd_pred_depth_gt_pose_chamfer_raw,pcd_pred_depth_pred_pose_chamfer_raw,pcd_native_world_points_chamfer_raw,pcd_gt_depth_gt_pose_chamfer_aligned,pcd_gt_depth_pred_pose_chamfer_aligned,pcd_pred_depth_gt_pose_chamfer_aligned,pcd_pred_depth_pred_pose_chamfer_aligned,pcd_native_world_points_chamfer_aligned
scene0000_00,100.0,0.017628196985588356,0.016193075909972196,0.04463973269790452,6.065003920226308,7.071468778525145,0.16823042870893093,0.003692408333351935,0.47031950324773786,0.9007924908399582,0.013010449092835188,0.044254742283374074,0.998531568440584,1.8851478850841523,0.49240112268260644,0.5203389757786644,0.999742476316035,0.9995749163403644,0.9996935268955214,0.8430653200603102,0.8126204520957446,0.8166472537955815,0.8575145067331343,0.8702275814805431
scene0000_00,200.0,0.026391053401216457,0.023554769699908246,0.06481960176192143,7.835841067161115,9.260678519413197,0.1910333267710628,0.004339426720459533,0.5076345226168633,1.041561026275158,0.014706057971343398,0.048841298008337614,0.9984708531769013,2.030633313655853,0.47529839873206314,0.5116748113621784,0.999986207932125,0.9999999828350836,1.0,0.8273486579834544,0.7954760849164604,0.7922247617686399,0.8357765822682772,0.8490354408503578
scene0000_00,300.0,0.025244919356289548,0.022809845746613634,0.05948812373647193,6.906858907781169,8.618162518424333,0.17638938211574118,0.004080062294355149,0.5235868924856186,1.0576819497346879,0.013508086567744612,0.052786531740178666,0.9970972024701112,2.0963967100779217,0.4793424304966532,0.5366461481546904,0.9809998504799781,1.0,0.9999797792049169,0.8008070607904265,0.7475523362334542,0.7339342703333711,0.8191553945330448,0.8362995679740339
scene0000_00,400.0,0.037822179823034166,0.03394871245841782,0.08045353824352677,1.8343770113085986,3.522695017288712,0.17805005246403566,0.0039450990940484345,0.5340213738381863,1.0838133181631564,0.014630797770805656,0.057522862288169566,0.9964712903093033,2.1446327859163286,0.47725064633343933,0.5327225683683383,0.9782572965637943,0.9997895465531385,0.9997357866022643,0.7679586637501855,0.7297406398089352,0.6960483674629891,0.7770846813851213,0.7847291400788103
scene0000_00,500.0,0.04491158880116711,0.041588356679438075,0.09309409165118228,2.8473197036499855,4.322432011726871,0.2059894253171775,0.004816339306054096,0.5459463659524918,1.1405144870281219,0.01569008346647024,0.059918365761637685,0.9963847226933743,2.203244649887085,0.4625295417416055,0.526522654930023,0.9817297717252967,0.9982073179248855,0.9981990417077413,0.8002177065223268,0.7759272115934065,0.6794676321813877,0.7924359642172654,0.7992502576092391
scene0013_02,100.0,0.01006794788993404,0.009298359088630031,0.024432718843851457,0.9958978750070855,1.655774906011035,0.10202707874988054,0.002542726148589768,0.5414692598581314,1.3161262583732605,0.023967134691774847,0.24015289090573788,0.9812694932580897,2.1764973974227906,0.33602055768280226,0.3860066325133707,0.8256910626110212,0.7836451498024265,0.7825777807900083,0.5892873087886996,0.48910921189246526,0.36064821577307615,0.4046726449766221,0.3896031204760032
scene0013_02,200.0,0.01806107778253955,0.016781834303819278,0.033880977909009125,2.728553618358701,3.714211463921446,0.1152093938382189,0.0026602860197891816,0.5573285534977913,1.4490093445777894,0.025071808472275733,0.26375347215682265,0.9804525980205792,2.249486265182495,0.2117599562334861,0.3166452072790261,0.8510351199442201,0.8208930068200104,0.8189174997439008,0.560879258186555,0.4056513106598316,0.3645651789369386,0.3929471196432285,0.3717419703798326
scene0013_02,300.0,0.01951621068320195,0.016862464164104866,0.05799838991675352,1.8072356916861596,3.0904140373562172,0.1247369861411049,0.003110529184553556,0.5402532976865768,1.3496779441833495,0.02347182110262414,0.23958663788934548,0.9825657028750303,2.1668606956799823,0.16470702411169075,0.2774257209540692,0.8430462881881855,0.8169588133177006,0.8157409035277797,0.41153951151826995,0.33668259757765806,0.34162225682194164,0.35340383567286615,0.33831671763503324
scene0013_02,400.0,0.0305840015193705,0.026198892544870088,0.07649577708282644,2.2124310487092096,3.245839467348299,0.13385754204787398,0.0032903277867559993,0.5287698529660702,1.3550459280610085,0.022869572690688074,0.25478610569611193,0.9828932363360893,2.1165363574028015,0.1541559918014901,0.2702728656455622,0.838924878154868,0.7876053168742476,0.7873032154226967,0.3678868272340379,0.31492223344333364,0.28236009243854754,0.321232883079249,0.3237905642311101
scene0013_02,500.0,0.03001225074620385,0.025695405459513,0.07824323380399623,1.9204808475391064,3.6028566745304516,0.12904237607373628,0.0031831214505570553,0.5568638409376144,1.4690191469192504,0.02330948993563652,0.23903787417709826,0.9848425589630437,2.2566870398521424,0.14875861861629158,0.2827849694770149,0.8459167483998866,0.7962435778183736,0.796865720697896,0.4693530262345782,0.3372451259897514,0.24403297633614546,0.30299081539931305,0.3223079759639923
